@id,@type,rdfs:label
ndc9:016.53,skos:Concept,各種の図書館--その他の図書館--矯正図書館
ndc9:016.54,skos:Concept,各種の図書館--その他の図書館--病院図書館
ndc9:016.55,skos:Concept,各種の図書館--その他の図書館--船員文庫
ndc9:016.58,skos:Concept,各種の図書館--その他の図書館--点字図書館
ndc9:016.59,skos:Concept,各種の図書館--その他の図書館--会員制図書館
ndc9:016.7,skos:Concept,各種の図書館--メディア センター．視聴覚ライブラリー
ndc9:016.9,skos:Concept,各種の図書館--貸本屋
ndc9:017.2,skos:Concept,学校図書館--小学校．学級文庫
ndc9:017.3,skos:Concept,学校図書館--中学校
ndc9:017.4,skos:Concept,学校図書館--高等学校
ndc9:017.6,skos:Concept,学校図書館--短期大学図書館
ndc9:017.7,skos:Concept,学校図書館--大学図書館
ndc9:018.09,skos:Concept,専門図書館--文書館．史料館
ndc9:018.19,skos:Concept,（専門図書館--教会図書館）
ndc9:018.32,skos:Concept,（専門図書館--法律図書館）
ndc9:018.4,skos:Concept,（専門図書館--科学技術図書館）
ndc9:018.49,skos:Concept,（専門図書館--医学図書館）
ndc9:018.499,skos:Concept,（専門図書館--薬学図書館）
ndc9:018.52,skos:Concept,（専門図書館--建築図書館）
ndc9:018.61,skos:Concept,（専門図書館--農学図書館）
ndc9:018.7,skos:Concept,（専門図書館--美術図書館）
ndc9:018.76,skos:Concept,（専門図書館--音楽図書館）
ndc9:018.77,skos:Concept,（専門図書館--演劇図書館）
ndc9:019.1,skos:Concept,読書．読書法--読書の心理．読書の生理
ndc9:019.12,skos:Concept,読書．読書法--読書の心理．読書の生理--読書法
ndc9:019.13,skos:Concept,読書．読書法--読書法--速読法
ndc9:019.2,skos:Concept,読書．読書法--読書指導
ndc9:019.25,skos:Concept,読書．読書法--読書指導--読書感想文．読書記録
ndc9:019.3,skos:Concept,読書．読書法--読書調査
ndc9:019.5,skos:Concept,読書．読書法--児童・青少年図書．児童・青少年と読書
ndc9:019.53,skos:Concept,読書．読書法--児童・青少年図書．児童・青少年と読書--絵本・漫画と読書
ndc9:019.9,skos:Concept,読書．読書法--書評．書評集
ndc9:020.2,skos:Concept,図書．書誌学--図書および書誌学史
ndc9:020.21,skos:Concept,図書．書誌学--図書および書誌学史--日本
ndc9:020.22,skos:Concept,図書．書誌学--図書および書誌学史--東洋：朝鮮，中国
ndc9:020.23,skos:Concept,図書．書誌学--図書および書誌学史--西洋．その他
ndc9:020.28,skos:Concept,図書．書誌学--図書および書誌学史--書誌学者＜列伝＞
ndc9:021.2,skos:Concept,著作．編集--著作権．著作権法：版権，翻訳権
ndc9:021.23,skos:Concept,著作．編集--著作権．著作権法：版権，翻訳権--音楽著作権
ndc9:021.25,skos:Concept,著作．編集--著作権．著作権法：版権，翻訳権--ソフトウェアに関する著作権
ndc9:021.27,skos:Concept,著作．編集--著作権．著作権法：版権，翻訳権--映像・映画に関する著作権
ndc9:021.3,skos:Concept,著作．編集--著述．著作家
ndc9:021.4,skos:Concept,著作．編集--編集．編纂
ndc9:021.43,skos:Concept,著作．編集--編集．編纂--編集者
ndc9:021.49,skos:Concept,著作．編集--編集．編纂--コンピュータによる編集
ndc9:021.5,skos:Concept,著作．編集--偽作．剽窃
ndc9:021.6,skos:Concept,著作．編集--筆禍
ndc9:022.2,skos:Concept,写本．刊本．造本--写本：様式，書風
ndc9:022.21,skos:Concept,写本．刊本．造本--写本：様式，書風--日本
ndc9:022.22,skos:Concept,写本．刊本．造本--写本：様式，書風--東洋：朝鮮，中国
ndc9:022.23,skos:Concept,写本．刊本．造本--写本：様式，書風--西洋．その他
ndc9:022.3,skos:Concept,写本．刊本．造本--刊本：版式
ndc9:022.31,skos:Concept,写本．刊本．造本--刊本：版式--日本：春日版，高野版，浄土教版，五山版，古活字版
ndc9:022.32,skos:Concept,写本．刊本．造本--刊本：版式--東洋：朝鮮，中国
ndc9:022.33,skos:Concept,写本．刊本．造本--刊本：版式--西洋：インキュナブラ．その他
ndc9:022.39,skos:Concept,写本．刊本．造本--刊本：版式--絵入本
ndc9:022.4,skos:Concept,写本．刊本．造本--複製：翻刻，影印，覆刻，模刻
